00Annotation	counts.Mast%20cell%20-%20stimulated%2c%20donor1.CNhs11073.11487-119E2.hg38.nobarcode	counts.Mast%20cell%2c%20donor1.CNhs12566.11563-120D6.hg38.nobarcode	counts.Mast%20cell%2c%20donor2.CNhs12594.11565-120D8.hg38.nobarcode	counts.Mast%20cell%2c%20donor3.CNhs12593.11566-120D9.hg38.nobarcode	counts.Mast%20cell%2c%20donor4.CNhs12592.11567-120E1.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor5.CNhs13925.11940-126A5.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor8.CNhs13927.11942-126A7.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor5.CNhs13924.11939-126A4.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor8.CNhs13926.11941-126A6.hg38.nobarcode
KRTAP7-1	0	0	0	0	0	0	0	0	0
KRTAP8-1	0	0	0	0	0	0	0	0	0
KRTAP9-3	0	0	0	0	0	0	0	0	0
KRTAP9-8	0	0	0	0	0	0	0	0	0
KRTCAP2	147	1259	526	718	915	2694	491	2300	1143
KRTCAP2P1	1	7	4	8	2	8	1	5	3
KRTCAP3	0	2	3	2	4	9	3	3	4
KRTDAP	0	0	0	0	0	0	0	0	0
KSR1	7	261	207	303	342	179	47	216	298
KSR2	0	0	0	0	0	0	0	0	0
KTI12	21	117	25	74	67	112	26	130	68
KTN1	385	710	309	444	448	791	119	425	522
KTN1-AS1	0	7	6	4	5	16	4	4	9
KU-MEL-3	0	0	0	0	0	0	0	0	0
KXD1	359	1086	294	574	633	912	215	910	609
KY	0	0	8	5	14	1	2	3	8
KYAT1	1	7	3	9	5	14	3	15	15
KYAT3	6	31	11	24	20	41	3	28	14
KYAT3,p1@RBMXL1	115	178	54	101	81	190	46	189	76
KYAT3,p2@RBMXL1	0	0	1	7	5	19	0	5	3
KYAT3,p3@RBMXL1	30	34	19	57	32	41	0	46	19
KYNU	20	64	2	1	2	10	0	8	6
L1CAM	13	98	1122	1013	2087	765	41	348	85
L1TD1	0	0	0	0	0	0	0	0	0
L2HGDH	7	34	13	15	8	42	4	33	21
L3HYPDH	4	52	22	33	36	67	18	57	55
L3MBTL1	6	56	27	66	50	71	11	81	45
L3MBTL2	19	120	30	70	51	128	25	157	75
L3MBTL2-AS1	0	2	1	2	2	4	0	3	1
L3MBTL3	6	217	149	320	229	377	67	202	135
L3MBTL4	0	1	1	1	1	1	0	0	0
L3MBTL4-AS1	0	0	0	0	0	0	0	0	0
LACC1	58	215	46	69	72	79	13	132	225
LACRT	0	0	0	0	0	0	0	0	0
LACTB	33	774	411	596	746	732	108	516	675
LACTB2	56	224	88	116	148	393	68	303	250
LACTB2-AS1	0	0	0	0	0	0	0	0	0
LACTBL1	0	0	0	0	0	0	0	0	0
LAD1	0	0	2	2	4	0	0	0	0
LAG3	0	0	0	1	0	0	1	0	0
LAGE3	20	440	72	83	154	272	66	418	255
LAIR1	35	1297	506	1363	1158	534	63	1456	1327
LAIR2	2	87	32	74	84	32	1	81	67
LAMA1	0	0	0	0	1	0	0	0	0
LAMA2	54	10	43	72	122	15	2	14	2
LAMA3	0	0	1	2	0	0	0	1	0
