logFC	AveExpr	t	P.Value	adj.P.Val	B
DNAJB9	1.98027939641965	7.80170625549296	10.2171103743195	1.11205297021978e-09	4.85773747469484e-07	12.3846058678248
IL3	8.60935040072602	3.66921763834542	10.2320780128242	1.08330892810901e-09	4.85773747469484e-07	12.1191296428928
ANGPTL4	4.74650167083355	3.01200355820651	10.0807640559914	1.41334998075824e-09	5.91663635694918e-07	12.0090987805299
RAP1GAP2	-1.32168863596933	5.18627226565167	-9.94875593327598	1.7863389610897e-09	6.68871679668746e-07	11.9213901487807
PMM2	1.61172308762991	5.57729502600806	9.9452593983682	1.79750526038182e-09	6.68871679668746e-07	11.9144783703775
FASLG	5.72839792464246	3.46772076950841	9.96689116434207	1.72956706228495e-09	6.68871679668746e-07	11.8375930023664
SLC25A13	1.07475145022416	4.94099612281637	9.86783940411435	2.06421389090818e-09	7.15143343515672e-07	11.7811946166879
TAF13	1.29623547846579	6.32517734347429	9.79602346987764	2.34837841421802e-09	7.73487472688627e-07	11.6426146919299
RASSF1	-1.76254569660473	6.20304916626715	-9.78705935974858	2.38659417272294e-09	7.73487472688627e-07	11.6384422296419
TNFSF14	3.87689084509633	1.67216542641772	9.89317300463048	1.97269304217969e-09	7.07844535527833e-07	11.5779266870266
RGS19	-1.93291669493687	5.29409130744234	-9.6414076123067	3.10654635154992e-09	9.63854006696463e-07	11.3742978501229
STARD4	3.16013566437479	8.24159529758619	9.61462499726896	3.2617732883129e-09	9.63854006696463e-07	11.3223504241127
USP12	2.04364267218891	4.79813644750297	9.59829504359396	3.36034485333632e-09	9.6461099261343e-07	11.3043291322307
MIR155HG	4.17978820643481	2.32789024149355	9.61755024412918	3.24443479352581e-09	9.63854006696463e-07	11.1605377445719
CYCS	1.94795422927469	8.4463589094258	9.46642586808376	4.27875897791091e-09	1.1941303180853e-06	11.0524202170502
LARP1B	1.52997716690161	4.53695598231284	9.4366041567344	4.52040221571813e-09	1.22747246111676e-06	11.0135415734235
PRCP	1.74048117427585	5.51689386034642	9.41374809770945	4.71515194466698e-09	1.24666135758077e-06	10.9617555974138
SMIM13	1.08758662453293	5.46594549050633	9.37685764690487	5.04802910038331e-09	1.28960002426051e-06	10.8926324197608
PDCD11	1.24029436755513	4.49135719579884	9.35671867124774	5.23993757919506e-09	1.28960002426051e-06	10.869396683217
JARID2	1.7272265778517	7.94311008194924	9.35438843411315	5.2626257584036e-09	1.28960002426051e-06	10.8445810891669
ARRB1	-1.26600894276946	6.28007253131757	-9.29208992821303	5.90848235314015e-09	1.38052377213951e-06	10.7394957106176
MYC	2.68573812421976	6.24116805889036	9.29283869932888	5.90025053758257e-09	1.38052377213951e-06	10.7359268997284
TNS1	-1.47483897362413	6.32092804153793	-9.23642976518847	6.55496732829744e-09	1.46350570549788e-06	10.6417891851798
TNFRSF9	4.10465562992771	3.04133385865094	9.24039367534226	6.50659069449261e-09	1.46350570549788e-06	10.6347354139302
CLIC4	1.92027339111919	6.65072428437114	9.20650367881466	6.93243316293709e-09	1.51413382582672e-06	10.5699330011024
NEDD9	2.47543303368449	7.77200430706487	9.1358334179716	7.91589523713744e-09	1.68313600110259e-06	10.4384486059385
PTPN22	1.69498524375187	6.07800127673425	9.12748519676433	8.04125888851642e-09	1.68313600110259e-06	10.4367191066098
PPAN	1.85591272220212	3.5199185248979	9.0541637514505	9.23470632047556e-09	1.85562188803636e-06	10.3150747428862
GBP1	3.16615929740568	2.04322691510171	9.08300354657461	8.74477835165654e-09	1.79303649181823e-06	10.2586915679308
TIMM9	0.88847824010041	5.17263840745699	8.96868006471345	1.08608952528454e-08	2.13959636481055e-06	10.1364203893274
ADIPOR2	1.84507481491082	5.82986680784946	8.9328205019635	1.16288328391705e-08	2.24682468336819e-06	10.0597257256426
SPATA13	1.78660772039653	6.39371621729154	8.91550331267593	1.20196024310375e-08	2.27850840801195e-06	10.0260540231419
FNDC3A	1.63015223692409	6.49831490638728	8.90166014470967	1.23417434121811e-08	2.29624992707747e-06	10.0019948360716
PDK3	1.80426622529332	5.44572789592792	8.83646789813595	1.39834272400067e-08	2.55439079055176e-06	9.88618209831142
FABP5	2.55872400103934	3.04828560505661	8.81843889191468	1.44762104799466e-08	2.59718726235756e-06	9.85088705587026
URB1	1.56019208455846	4.35632570645793	8.78142889478561	1.55449265460189e-08	2.69275650013539e-06	9.80420114467062
SEC23B	1.11864612710795	6.21648841456895	8.78399666877336	1.54682076025092e-08	2.69275650013539e-06	9.77348053082133
ZNF587B	1.22591726008592	4.46818613339819	8.7455994991383	1.66574643513309e-08	2.83656854809866e-06	9.73300594953212
ATP13A3	2.12878890013457	5.97933667549576	8.72231975228926	1.74242005678061e-08	2.89523744501611e-06	9.65524703238032
TAPT1	1.53480012392664	5.74075243465176	8.71776814716309	1.75783302623652e-08	2.89523744501611e-06	9.64839897385358
PGPEP1	-1.24604728931456	5.67782951045763	-8.66168866474925	1.95973600213709e-08	3.17572058281795e-06	9.56497095353257
PEAK1	2.61739359532118	5.91898736643642	8.61534070251346	2.14465500709458e-08	3.42021410417131e-06	9.45178136122717
FGL2	4.76461869541863	3.92274091625489	8.57953913373179	2.29979855645237e-08	3.61032439010578e-06	9.42449116515691
METTL1	2.28807603078465	3.94885869899829	8.4619828378628	2.89600722762328e-08	4.40851282059562e-06	9.19840129298189
CD200	5.6200608377755	3.3084243465538	8.47237158806868	2.8374027583896e-08	4.38575161746774e-06	9.18324810895289
ZDHHC13	-1.04801441233488	4.47167287675006	-8.447598842105	2.97922265916568e-08	4.43605473647838e-06	9.17269270241056
SLC8A3	-1.40225891960466	5.90819812345077	-8.43626041726973	3.04655894114669e-08	4.43605473647838e-06	9.13207275013126
NDFIP1	1.30273085429884	7.62301467788608	8.44024986224609	3.02268892888843e-08	4.43605473647838e-06	9.10098894219706
IL27RA	2.03693413635638	4.95557360154149	8.41765643727706	3.16047258940439e-08	4.53618115796371e-06	9.09035929811301
SH2D2A	3.44338114715353	5.16749374338567	8.40528842799896	3.23863185403065e-08	4.58289214611915e-06	9.06653147546159
NOP16	1.89717504006795	5.57464380739699	8.36882577213143	3.48089560996434e-08	4.85729974907108e-06	8.96889861077055
TRIM5	2.26971901981285	5.01635155027871	8.33764406434996	3.70291149261531e-08	5.09632215976795e-06	8.93942900711076
PIK3R3	-2.09977241624962	3.19143599328262	-8.29070580212023	4.06508571952767e-08	5.51917786812087e-06	8.86959476887497
LDB1	-1.14712604832036	6.25226348932042	-8.26864130455692	4.24779814897068e-08	5.69035040036113e-06	8.7812881577097
SLC7A1	2.32614959959549	4.18335926546299	8.24750039378667	4.43082960429754e-08	5.78749683995725e-06	8.77675132306042
SELPLG	-2.05894691693161	5.5656276607783	-8.24315443384661	4.46945470431354e-08	5.78749683995725e-06	8.77441770685758
PDLIM4	2.92255826057721	3.13250684874025	8.24050973358199	4.4931298249892e-08	5.78749683995725e-06	8.76735878660575
PGM3	1.83998328958469	4.00952102900579	8.20120064301327	4.86070566786654e-08	6.10443873063189e-06	8.69105743489555
MEIS2	-0.904820280264346	6.54759260687149	-8.20386650013768	4.83482218378455e-08	6.10443873063189e-06	8.6414068316062
KCNE3	-2.42311291708404	4.64199986254373	-8.15601211397237	5.321911080481e-08	6.48487854560506e-06	8.6062826622895
UCP2	1.8009804090377	6.56064790884335	8.16218873379528	5.2562932129077e-08	6.48487854560506e-06	8.56725290106347
MTRR	1.11905282863498	5.01112703808379	8.15271630589194	5.35727002374062e-08	6.48487854560506e-06	8.55920069734178
SLC45A3	-2.20947394105789	6.20076472150222	-8.13898390702539	5.50722961099543e-08	6.5095454001966e-06	8.54218115568555
TTC33	1.48185250621734	4.8828295742909	8.13899542013231	5.50710208654449e-08	6.5095454001966e-06	8.534620719282
SERPINB9	1.82753268028446	5.70357041772959	8.11838066886432	5.74039983535927e-08	6.62917208573041e-06	8.49855678962265
