logFC	AveExpr	t	P.Value	adj.P.Val	B
TSC22D1	-1.09333605201356	7.14390798358482	-3.0055935828622	0.00671633606297302	0.624805818747129	-2.78969935218667
NKTR	0.745473497080875	5.46787640200837	2.95069927505438	0.00761331884553327	0.64578525954805	-2.80140325456121
CYSTM1	-0.552982328125904	7.44084200540895	-2.9903704063166	0.00695434606213888	0.630034119150853	-2.82129567992803
TSC1	0.755526011329999	4.39922105420073	2.83829584968433	0.00982176000998756	0.702951785300506	-2.83579494618988
POLR2J2	1.33622189838888	2.50422917417682	2.93546602517309	0.00788196170168452	0.64578525954805	-2.84763578259845
RGS5	1.25944997411635	2.71870425065909	2.73391099289539	0.0124102662928542	0.737786659433764	-2.85508139351349
LINC01140	1.35741547394261	5.04092602043111	2.87035738000112	0.00913610707331461	0.685003490787999	-2.85520172455373
COMMD4	-0.766390036242019	4.45880663293629	-2.94794268310936	0.00766127175626774	0.64578525954805	-2.85618098539183
GSTP1	-1.39121326454496	5.69695081892464	-2.95446730471437	0.0075482372311233	0.64578525954805	-2.86482063131109
AKAP10	0.581078593064185	5.08950436794504	2.89697585532774	0.00860186172306527	0.67979982378459	-2.86747335478105
NYNRIN	-1.83780895965746	2.99948186552709	-2.81148421447742	0.0104325921365017	0.713035736023353	-2.8834034732799
COX7A1	-1.19414128402134	4.17221427972498	-2.91711615622445	0.00821765160304153	0.656977299535861	-2.89325913375056
RNF123	0.771471867691937	3.85120053597126	2.8253967879222	0.0101112450960655	0.702951785300506	-2.90935588540333
ETFB	-0.529317295285359	5.67726973358433	-2.9477502658053	0.00766462979915322	0.64578525954805	-2.91150753407669
CNRIP1	-0.917845314433976	6.78585299048564	-2.93508139681696	0.00788886109679562	0.64578525954805	-2.92901782068013
FN3K	1.40084801371829	4.96355052114814	2.82391051200251	0.010145118828364	0.702951785300506	-2.93524188733619
YEATS2	0.639005066486402	4.82728741783822	2.83131764884387	0.00997737060491211	0.702951785300506	-2.94274132047291
CABP4	1.06813279023934	2.80320132951733	2.70396396881966	0.013265071880971	0.756407222426071	-2.95186675759191
STAG3L5P	0.819795875545696	4.28961712406604	2.88517853101721	0.00883484312473323	0.67979982378459	-2.95976077195318
FYCO1	0.740873053622071	5.67238587565477	2.87841799712035	0.00897106394551853	0.67979982378459	-2.97621985467821
IL2RA	1.70950195293777	3.81874800738266	2.73453813262118	0.012392936445778	0.737786659433764	-3.00036894638219
AFG3L1P	0.751381105992961	3.79382467654105	2.75993847157824	0.011710038377511	0.735317222367834	-3.00059101183407
TBC1D2	1.80893769122555	3.71974234926386	2.70898786474966	0.0131178784277756	0.753116140364925	-3.01100938130656
SDR39U1	-0.443928349530931	5.31695603629644	-2.86290032252914	0.00929137436158864	0.688786765762149	-3.01230711467879
RPLP0	-0.761039644114034	8.49585891739255	-2.87704162442386	0.00899904215819155	0.67979982378459	-3.02899225820618
PMP22	-0.693773655413955	6.96759466150941	-2.88441195668325	0.0088501890880314	0.67979982378459	-3.03935667747773
ARHGAP5	1.63622672405245	3.3283985895338	2.72223642675544	0.012737099107148	0.744009504241375	-3.04273719353379
TMEM131	0.485993168088791	5.27427130176278	2.82864263560542	0.0100376436192693	0.702951785300506	-3.05583864679376
TMEM176B	3.12192092252655	2.98620959689128	2.62255495139355	0.0158791912477688	0.805843551291211	-3.05944826703779
LPP	1.02521957365732	4.05143854221079	2.70190740036338	0.0133257766865148	0.756407222426071	-3.06300099981373
RBM26	0.79024933833853	5.21882474176728	2.7767988982058	0.0112766490317384	0.728247436886299	-3.07745619412224
UTP20	0.915927833229662	3.86973303722854	2.6870792350846	0.0137713157963269	0.764422153622633	-3.08695214307676
NT5C2	0.802490679355853	5.93793888892178	2.84563794682121	0.00966053678459306	0.702951785300506	-3.08845282948268
GUSBP1	0.918918494010911	3.26134821318348	2.66556536616213	0.0144428583797157	0.788627163809802	-3.08923981338275
MEIS2	0.492708503725484	6.54759260687149	2.84182346770807	0.00974397996514701	0.702951785300506	-3.10365239391359
DICER1	0.466774346873929	5.55947051583338	2.82520292922963	0.0101156572062428	0.702951785300506	-3.12107159424848
PRKCZ	0.901360482363932	3.35058434681493	2.64144978632487	0.0152323516720958	0.805843551291211	-3.12633079789274
PIH1D1	0.812652345766101	6.1721707439582	2.83724165993526	0.00984511850003028	0.702951785300506	-3.13110811349855
WDR55	0.491369355299159	4.99960277888095	2.79959149376146	0.0107149801777134	0.713564684660774	-3.13649480782944
ZDHHC1	-1.21739686990576	2.15149506518	-2.6275939912108	0.0157041998551403	0.805843551291211	-3.14708863640274
STRBP	1.24243325315383	3.06240339972164	2.61693210359087	0.0160766246915281	0.805843551291211	-3.15081132968136
AP1S1	-0.834552750680383	4.56615423339155	-2.80410843162637	0.0106068801331025	0.713564684660774	-3.15992202366755
HLA-K	2.2843626732508	1.78563131989189	2.53441393559584	0.019252970415359	0.88176513643429	-3.16099246758913
PIK3C2B	0.439125305518648	7.27542317600515	2.82063295108715	0.0102202006569548	0.703303808222091	-3.18465555348785
KAZN	1.84494048430125	1.21208797705579	2.5207017649532	0.0198346691384642	0.88176513643429	-3.1897509417733
SCNM1	-0.454227949051975	5.64377412905418	-2.80408776419867	0.01060737237482	0.713564684660774	-3.19148702599831
S100A6	-1.01620492829014	10.646072119567	-2.77756120517876	0.0112574192461777	0.728247436886299	-3.19491806201694
LAPTM5	-0.446880367598911	11.5371116802965	-2.78379268231108	0.0111013910168568	0.728247436886299	-3.19587362214263
THEMIS2	-1.27683978328834	2.75096687878748	-2.60168117744909	0.0166238271038322	0.818723484863734	-3.19728894742791
MRRF	0.697947085417037	4.53344234959255	2.6595415103235	0.0146363643663556	0.792861694998369	-3.1973596484937
ATAD2B	0.825509836754871	4.09276877745091	2.62696711871139	0.0157258699386568	0.805843551291211	-3.20356081515682
RNF122	-1.59762292485035	1.74571049473736	-2.5317530616041	0.0193645862057683	0.88176513643429	-3.21082699629311
FKBP1B	-1.04496547531178	2.77238975875077	-2.63452264854222	0.015466553388145	0.805843551291211	-3.21303640140667
HLTF	0.685684868808213	5.41599426447053	2.71700330076299	0.0128862362788656	0.747462176076707	-3.21725709506122
