logFC	AveExpr	t	P.Value	adj.P.Val	B
TTC33	1.54614806503607	4.8828295742909	6.78538434878212	1.01624987764296e-06	0.000118723982798591	5.73369352555284
IL27RA	2.1147073294935	4.95557360154149	6.74860769011664	1.10084873766617e-06	0.000126520167828362	5.65861334007701
MTRR	1.17440660140841	5.01112703808379	6.74556307125384	1.10816908220323e-06	0.000126520167828362	5.64623748238925
SLC4A7	1.74015251677026	5.70204510426762	6.69980089727217	1.22442635782697e-06	0.000138222602439186	5.53149600748832
LDB1	-1.16901929865564	6.25226348932042	-6.67276496299846	1.29892836841052e-06	0.000145003703526895	5.48249143099136
RASSF2	-1.53469631729175	6.32307225558981	-6.64422466680479	1.38264185627103e-06	0.000150993507934294	5.42413254967083
ARL8B	1.48456697406525	7.95434771417568	6.64500315989156	1.38028643289223e-06	0.000150993507934294	5.40675994278218
INPP5D	-1.08108003745307	7.22551198671686	-6.62371743506024	1.44619824463e-06	0.000156236061976318	5.36106128090945
PSMC6	0.992118020261918	6.88485281237848	6.60044732433213	1.52196292011904e-06	0.000162671930408893	5.30471900464992
CERS4	-1.36282556376072	5.08403707199963	-6.56835930753546	1.6331770202832e-06	0.000170922182529014	5.2980385633526
PDLIM4	2.94795221765049	3.13250684874025	6.55079480479245	1.69755355530824e-06	0.000175828047115277	5.27126274933239
PHACTR2	1.10674481853574	6.67086070277748	6.57413819601757	1.61254879947032e-06	0.000170539766192403	5.24916712301559
POLR3D	1.01091285441238	5.03850809969389	6.53535997599296	1.75627310071216e-06	0.000178235109523789	5.19395498941083
NABP1	1.27699954816295	7.6651167244517	6.54441104569686	1.72159137692673e-06	0.000176498250652886	5.18673038928858
GOLT1B	1.37918586900117	5.67999611311856	6.52899637171118	1.78108565049286e-06	0.000178945675305017	5.1683227791484
MYC	2.40645665936997	6.24116805889036	6.51180977150482	1.84991214059921e-06	0.000183563414555723	5.1256766788426
AGO2	1.79887657546127	5.517084371431	6.50847302412774	1.86358796503273e-06	0.000183563414555723	5.11793458639558
JADE2	-1.70799919730062	5.04944213274918	-6.46081511461384	2.07063922599543e-06	0.000200035695226693	5.07453858445936
MYO1F	-1.14893977255544	5.82910437504182	-6.47177175618229	2.0210372607628e-06	0.000197139430668775	5.0602746483278
POLR1A	1.13202295773228	4.25591993366993	6.43064798050524	2.21376352332211e-06	0.000207866188026329	5.00462685861752
STK26	1.346416502681	6.21339021093673	6.45492665663653	2.09781114871644e-06	0.000200730558201468	4.9996829775843
STK10	-0.856837071724597	5.69450555474432	-6.44242901846522	2.15669926982564e-06	0.000204418467584322	4.99321760811936
HCG25	1.32508103758999	2.68985688819861	6.39776524541226	2.3813740850778e-06	0.000212609876985914	4.93606724195042
CCND3	-1.58510246858209	6.37665944613883	-6.41551119631378	2.2893625968448e-06	0.000211020422114676	4.9289287049524
SYNGR2	-1.07112907308577	7.55574252899697	-6.42314768048281	2.25089760392472e-06	0.000209396002098441	4.92083557204367
POLR1C	1.23938838466285	5.16596362389283	6.40282314882445	2.3547692859611e-06	0.000212609876985914	4.8984756525928
NEDD9	2.25254280288069	7.77200430706487	6.40326448773115	2.35246232876947e-06	0.000212609876985914	4.88115148619749
REXO2	1.42423827987968	6.34996155824666	6.39590193066619	2.39125272214674e-06	0.000212609876985914	4.85945637745605
TEX30	1.97765818448064	6.36116300228215	6.39034718003778	2.42095213743843e-06	0.000213362334428455	4.84900530597262
TNF	4.7192503145604	4.58976176769066	6.34617443001467	2.6710105506257e-06	0.000231341750018417	4.83103705619654
DPY19L4	1.27502310338566	4.84769557440561	6.35121110342972	2.64120876684062e-06	0.00023074977809085	4.79714105983061
DDX10	1.12428781651898	4.30805704992561	6.32501870062395	2.80000150155434e-06	0.000232502556920356	4.77285120117579
MXD4	-1.2747837326882	7.01016007490166	-6.33961141326827	2.71036160415716e-06	0.000232502556920356	4.74530811420672
KIAA1522	-1.6356129333852	7.0864818021579	-6.33532782761424	2.73636551111462e-06	0.000232502556920356	4.73567909050525
PAPSS1	1.03190987115046	5.84732348974365	6.3324697867735	2.75385761832937e-06	0.000232502556920356	4.73140996559175
SLC25A32	1.18729477314668	5.65259340453102	6.32499966881093	2.80012037298329e-06	0.000232502556920356	4.71773517397571
ZFAND2B	-1.12490378958777	4.80022026354828	-6.2908691573071	3.02184457959939e-06	0.00024288377992988	4.69950113443851
IFNGR2	-1.03631973425454	6.40494070639659	-6.31659646490602	2.85311485054479e-06	0.000233959837341478	4.69868750350506
PNO1	1.20758284628869	5.4697720602711	6.31485206727085	2.86424405225459e-06	0.000233959837341478	4.69557353081787
KANK2	-2.40226659152027	4.32105507416916	-6.27692725261844	3.11751937089455e-06	0.000248585056502997	4.69082192278496
SH2D2A	3.43467078283438	5.16749374338567	6.29961710809462	2.96335389710693e-06	0.000240103359711559	4.68941765492529
BORCS6	-1.46780108692628	4.33280418156568	-6.2623355729293	3.22098140473271e-06	0.000254812599790154	4.65838195904263
UNC93B1	-1.25886009498952	4.62912657226913	-6.20446375967272	3.66720274399307e-06	0.000285615395107739	4.52317321519817
PEAK1	2.5107237370986	5.91898736643642	6.22091706261195	3.53424925655292e-06	0.000277410955317087	4.48530977589704
GTPBP10	0.953792544668635	4.92761912376712	6.19913768384144	3.71132969315342e-06	0.000286828687900865	4.47475527361389
FARSB	1.15838389425067	5.13092807115979	6.18258178352553	3.85200043642625e-06	0.000293902216113875	4.44105211216505
SERPINB9	1.80132712599679	5.70357041772959	6.18150219625158	3.86136085667677e-06	0.000293902216113875	4.43490574495189
BBS7	1.79810433405739	4.62065413622416	6.17468475047561	3.92101099012456e-06	0.000296198476825425	4.42050874478645
SYK	-1.25627972811111	5.06833811489355	-6.15967405608273	4.05569735589757e-06	0.000301706825097963	4.41229574431892
DYRK1B	-1.4613197921915	3.81722980266581	-6.13714459179256	4.26679680846686e-06	0.000310587149527577	4.39247242188496
SAR1A	0.958202840530477	7.06786928629169	6.16507988170257	4.00665508845788e-06	0.000300409430401017	4.34849224262621
ACAD11	1.47585166077002	3.53350199315698	6.11381378732435	4.49728089202688e-06	0.000313523733866322	4.33640595262887
LTV1	1.73751861775684	5.81846494896425	6.15426258710537	4.10540650820577e-06	0.000301706825097963	4.33622522012795
RALGDS	-1.95016579608594	5.84326715369504	-6.13083815991047	4.32787906179564e-06	0.000310587149527577	4.33033543796332
TRMT10C	0.900225059427432	5.86915988491353	6.15332875546837	4.11404748068289e-06	0.000301706825097963	4.32977571741145
PPM1H	-1.7484809018388	5.6244886000713	-6.1168976018961	4.46609944522973e-06	0.000313523733866322	4.3147575329046
PTRH2	1.18173873714695	5.45405214529344	6.13363560618097	4.30067411333065e-06	0.000310587149527577	4.29487447973909
DIP2B	1.04507348987818	5.80291968511997	6.12705623606031	4.36493826869545e-06	0.000311025069401299	4.27305980256568
MIS12	1.15739579364561	4.52349852361194	6.09986275319629	4.64115261499825e-06	0.000315065272451942	4.2648675940585
