logFC	AveExpr	t	P.Value	adj.P.Val	B
PMP22	0.693773655413955	6.96759466150941	2.88441195668326	0.00885018908803128	0.679799823784566	-3.03935667747772
ARHGAP5	-1.63622672405245	3.3283985895338	-2.72223642675544	0.012737099107148	0.744009504241375	-3.04273719353379
TMEM131	-0.48599316808879	5.27427130176278	-2.82864263560542	0.0100376436192694	0.702951785300508	-3.05583864679377
TMEM176B	-3.12192092252655	2.98620959689128	-2.62255495139356	0.0158791912477685	0.805843551291215	-3.05944826703777
LPP	-1.02521957365732	4.05143854221079	-2.70190740036338	0.0133257766865146	0.75640722242606	-3.06300099981372
RBM26	-0.790249338338528	5.21882474176728	-2.77679889820579	0.0112766490317385	0.728247436886289	-3.07745619412225
UTP20	-0.915927833229661	3.86973303722854	-2.68707923508459	0.013771315796327	0.764422153622639	-3.08695214307676
NT5C2	-0.802490679355852	5.93793888892178	-2.84563794682121	0.00966053678459314	0.702951785300508	-3.08845282948269
GUSBP1	-0.91891849401091	3.26134821318348	-2.66556536616213	0.0144428583797157	0.788627163809802	-3.08923981338275
MEIS2	-0.492708503725484	6.54759260687149	-2.84182346770806	0.00974397996514701	0.702951785300508	-3.10365239391359
DICER1	-0.466774346873932	5.55947051583338	-2.82520292922965	0.0101156572062426	0.702951785300508	-3.12107159424845
PRKCZ	-0.901360482363932	3.35058434681493	-2.64144978632487	0.0152323516720959	0.805843551291215	-3.12633079789274
PIH1D1	-0.8126523457661	6.1721707439582	-2.83724165993525	0.00984511850003044	0.702951785300508	-3.13110811349856
WDR55	-0.491369355299159	4.99960277888095	-2.79959149376146	0.0107149801777134	0.713564684660737	-3.13649480782943
ZDHHC1	1.21739686990576	2.15149506518	2.6275939912108	0.0157041998551403	0.805843551291215	-3.14708863640274
STRBP	-1.24243325315383	3.06240339972164	-2.61693210359087	0.0160766246915282	0.805843551291215	-3.15081132968137
AP1S1	0.834552750680384	4.56615423339155	2.80410843162637	0.0106068801331025	0.713564684660737	-3.15992202366754
HLA-K	-2.28436267325079	1.78563131989189	-2.53441393559584	0.0192529704153593	0.881765136434293	-3.16099246758914
PIK3C2B	-0.439125305518648	7.27542317600515	-2.82063295108715	0.010220200656955	0.7033038082221	-3.18465555348786
KAZN	-1.84494048430125	1.21208797705579	-2.5207017649532	0.0198346691384642	0.881765136434293	-3.1897509417733
SCNM1	0.454227949051975	5.64377412905418	2.80408776419866	0.0106073723748201	0.713564684660737	-3.19148702599832
S100A6	1.01620492829014	10.646072119567	2.77756120517876	0.0112574192461776	0.728247436886289	-3.19491806201694
LAPTM5	0.446880367598912	11.5371116802965	2.78379268231112	0.0111013910168559	0.728247436886289	-3.19587362214256
THEMIS2	1.27683978328834	2.75096687878748	2.60168117744909	0.0166238271038324	0.818723484863745	-3.19728894742792
MRRF	-0.697947085417037	4.53344234959255	-2.6595415103235	0.0146363643663556	0.792861694998373	-3.1973596484937
ATAD2B	-0.825509836754872	4.09276877745091	-2.62696711871139	0.0157258699386568	0.805843551291215	-3.20356081515682
RNF122	1.59762292485035	1.74571049473736	2.5317530616041	0.0193645862057684	0.881765136434293	-3.21082699629311
FKBP1B	1.04496547531178	2.77238975875077	2.63452264854222	0.0154665533881449	0.805843551291215	-3.21303640140667
HLTF	-0.685684868808214	5.41599426447053	-2.71700330076299	0.0128862362788655	0.747462176076714	-3.21725709506121
NRAV	1.01160017956029	2.13569425501412	2.56689708107147	0.0179381123022216	0.858210544287718	-3.22247841951912
OAZ1	0.560093997272693	3.82894806156511	2.76988527667006	0.011452482833486	0.728247436886289	-3.22729515034995
RPL23AP82	0.590526164830436	3.33772693759528	2.72843321828043	0.012562614962484	0.742450544282803	-3.22872036558117
CYP4V2	-0.77717327605156	4.30858759974896	-2.65824783019752	0.0146782397999102	0.792861694998373	-3.23682862018158
SECISBP2	-0.564081605855191	5.83398729328723	-2.75449128252698	0.0118534070570927	0.736665903520722	-3.24047094595446
KLHDC10	-0.807505524316362	3.64692168530938	-2.55006131049059	0.0186087055991693	0.869589140255136	-3.25356056680215
LURAP1L	-2.3970761600941	1.97197455045541	-2.47159385485308	0.0220554796166393	0.889065503380092	-3.26876741499413
BIRC6	-0.601230433167401	6.56419256459168	-2.77442563978324	0.0113367165704505	0.728247436886289	-3.27164368912842
CD37	0.644473248677556	8.80986968628048	2.77154763865667	0.0114099675233299	0.728247436886289	-3.27812692046175
RAB11A	0.521866398777429	7.46049948614187	2.7709431978887	0.0114254088490803	0.728247436886289	-3.28758726942373
MRPS31P5	-1.01685102189361	2.6059472302233	-2.49355722317957	0.0210349879624521	0.889065503380092	-3.28946594588829
NUDT1	0.512540009830532	5.06947569576691	2.7535571429433	0.0118781602837023	0.736665903520722	-3.29980259529728
RPS14P8	0.848916660587841	5.98823156740991	2.76260029969067	0.01164058051679	0.735317222367839	-3.30233579800849
MLLT3	-2.23830901001311	2.4776112203863	-2.47281465822863	0.0219975664664885	0.889065503380092	-3.30274058629016
ORC2	-0.778437879054963	4.44944143927787	-2.62564045110634	0.0157718238958554	0.805843551291215	-3.30389287467619
SIPA1L1	-0.987280913531594	6.45038045267819	-2.74549559949083	0.0120938280820711	0.737786659433776	-3.30501065271164
TECPR2	-0.756089332167371	3.69857899949623	-2.5731041353353	0.0176966489756527	0.850709245255421	-3.31468892464316
SEMA4F	-1.17498055901634	2.32409043498227	-2.46133754215539	0.0225476655743622	0.890732362917423	-3.32850033846131
ALDH1A1	1.10341347030998	8.23260421962378	2.74666966878003	0.0120621888875674	0.737786659433776	-3.33242369307394
S100A10	0.763352771362778	8.72407461480673	2.73930278808036	0.012262021950596	0.737786659433776	-3.33654380757035
PRDX6	0.532306664918567	9.17951807487372	2.73592415980776	0.0123547175621873	0.737786659433776	-3.34240590760886
CRYL1	0.460488397306418	5.26039591516631	2.714957059763	0.0129450003620333	0.747462176076714	-3.34728898279221
SYNGR2	0.617907871994998	7.55574252899697	2.73723386705796	0.0123187059515079	0.737786659433776	-3.35260426417064
SLC20A2	-0.554144304040328	4.63713496017811	-2.63571844619229	0.0154258832851618	0.805843551291215	-3.35566844103475
CRISPLD2	1.84616794792553	2.02748671610632	2.47018141406075	0.0221226610774383	0.889065503380092	-3.36432813154884
LGALS8	0.537363321941127	6.9711432343971	2.72504194632597	0.0126578208051261	0.743702489059073	-3.36732271244287
